"CO_ANO";"CO_MES";"VL_EXP";"VL_IMP"
1997;1;100552416;166139035
1997;2;103873938;223533133
1997;3;116820167;264679800
1997;4;129869720;308873009
1997;5;134800835;309791692
1997;6;130241941;321323780
1997;7;149586415;380467084
1997;8;150294815;330996442
1997;9;153023844;316661702
1997;10;163084080;369092534
1997;11;139496595;271699874
1997;12;155640768;304778391
1998;1;118741472;308111793
1998;2;124786220;242641892
1998;3;146205401;313207453
1998;4;142699787;268238436
1998;5;127497698;281084920
1998;6;131090589;304883992
1998;7;135836926;322951674
1998;8;122012524;230206581
1998;9;137697740;330213974
1998;10;122588510;315192423
1998;11;117403650;271113885
1998;12;148465971;270633193
1999;1;92591786;256225123
1999;2;110871794;243659782
1999;3;138688830;286104779
1999;4;110591368;258464951
1999;5;141636452;293116403
1999;6;142923174;317143760
1999;7;143914127;314257694
1999;8;155869658;326995717
1999;9;154710804;317678937
1999;10;204841699;343090007
1999;11;162043454;316424606
1999;12;197276779;277433047
2000;1;146528786;282953021
2000;2;179001917;320890812
2000;3;198633863;301469866
2000;4;162525050;311833957
2000;5;188105882;352700493
2000;6;189905278;370902403
2000;7;226816968;369031070
2000;8;244443766;420916663
2000;9;221269335;395760019
2000;10;232196557;386167420
2000;11;233355179;342152016
2000;12;245813268;321010360
2001;1;164117968;342468651
2001;2;173280967;247368968
2001;3;234332120;354769906
2001;4;183642095;326672717
2001;5;216560836;350921613
2001;6;216096512;308307357
2001;7;244838516;346568221
2001;8;250478762;330354497
2001;9;198084378;284354297
2001;10;210154675;317759895
2001;11;215567025;287950022
2001;12;199545085;214394706
2002;1;112819069;259759390
2002;2;158910961;233725416
2002;3;183393796;235002314
2002;4;182572691;280644372
2002;5;182879671;238677733
2002;6;187474753;269422414
2002;7;207497171;378981403
2002;8;219321983;319997062
2002;9;199362573;311971816
2002;10;224538974;335050072
2002;11;203666658;282803008
2002;12;193468429;264110497
2003;1;148048061;263347345
2003;2;183699428;249743822
2003;3;189873084;259423200
2003;4;198564670;272954892
2003;5;186503491;272405595
2003;6;201687516;250490376
2003;7;241532232;299998727
2003;8;215284102;282121148
2003;9;249884131;304985025
2003;10;222575354;310250052
2003;11;191081804;317673239
2003;12;217466865;313173526
2004;1;184337639;312442045
2004;2;189290424;300258434
2004;3;237917728;433205065
2004;4;210659290;384999593
2004;5;241363434;427579961
2004;6;263465515;471077135
2004;7;275567832;421556525
2004;8;278281499;432628127
2004;9;272992964;427971120
2004;10;292458656;442295950
2004;11;283337294;506286898
2004;12;311429844;439152305
2005;1;284455391;446497572
2005;2;285342907;399009257
2005;3;361278562;468694172
2005;4;353634424;470189120
2005;5;368758270;451732677
2005;6;425197489;532828484
2005;7;395446185;531116354
2005;8;402594928;610050864
2005;9;438675899;534347393
2005;10;409665766;546561635
2005;11;381149672;560358612
2005;12;379543003;573950993
2006;1;317541589;476100880
2006;2;337412544;432291980
2006;3;441821641;606568470
2006;4;474500175;609487275
2006;5;469194378;585710314
2006;6;435709955;490671261
2006;7;430480082;598212881
2006;8;465060873;700681081
2006;9;486621259;612660574
2006;10;505391375;753207238
2006;11;459960406;669833298
2006;12;438755794;508274639
2007;1;401482820;564134576
2007;2;387883296;515895246
2007;3;481891393;633442336
2007;4;435770853;639554861
2007;5;501823188;649145844
2007;6;452780891;629028889
2007;7;491253441;774092952
2007;8;512026036;871708649
2007;9;526365764;838134952
2007;10;523735353;922236495
2007;11;498716497;846968440
2007;12;525299732;692345953
2008;1;461644208;839410128
2008;2;465487047;782588844
2008;3;473528244;794138579
2008;4;555550204;868254281
2008;5;533546574;839275565
2008;6;560911749;951327246
2008;7;562622866;1064235877
2008;8;563263958;1102134329
